,url,start,rel,end
0,"Antonym,上,下",上,Antonym,下
1,"Antonym,上,下",上,Antonym,下
2,"Antonym,上,下",上,Antonym,下
3,"Antonym,上,下",上,Antonym,下
4,"Antonym,上午,下午",上午,Antonym,下午
5,"Antonym,下,上",下,Antonym,上
6,"Antonym,下,上",下,Antonym,上
7,"Antonym,下,上",下,Antonym,上
8,"Antonym,下,上",下,Antonym,上
9,"Antonym,下午,上午",下午,Antonym,上午
10,"Antonym,下半夜,上半夜",下半夜,Antonym,上半夜
11,"Antonym,下半夜,前半夜",下半夜,Antonym,前半夜
12,"Antonym,不知者不罪,知者有罪",不知者不罪,Antonym,知者有罪
13,"Antonym,买,卖",买,Antonym,卖
14,"Antonym,便宜,贵",便宜,Antonym,贵
15,"Antonym,假,真",假,Antonym,真
16,"Antonym,关,开",关,Antonym,开
17,"Antonym,冬至,夏至",冬至,Antonym,夏至
18,"Antonym,冷,热",冷,Antonym,热
19,"Antonym,凡,伟",凡,Antonym,伟
20,"Antonym,出口,进口",出口,Antonym,进口
21,"Antonym,卖,买",卖,Antonym,买
22,"Antonym,卖,购买",卖,Antonym,购买
23,"Antonym,后半夜,上半夜",后半夜,Antonym,上半夜
24,"Antonym,后半夜,前半夜",后半夜,Antonym,前半夜
25,"Antonym,后边,前边",后边,Antonym,前边
26,"Antonym,夏至,冬至",夏至,Antonym,冬至
27,"Antonym,多,少",多,Antonym,少
28,"Antonym,大,小",大,Antonym,小
29,"Antonym,女,男",女,Antonym,男
30,"Antonym,容易,难",容易,Antonym,难
31,"Antonym,少,多",少,Antonym,多
32,"Antonym,开,关",开,Antonym,关
33,"Antonym,后边,前边",后边,Antonym,前边
34,"Antonym,快,慢",快,Antonym,慢
35,"Antonym,惹起,惹不起",惹起,Antonym,惹不起
36,"Antonym,慢,快",慢,Antonym,快
37,"Antonym,新,旧",新,Antonym,旧
38,"Antonym,旧,新",旧,Antonym,新
39,"Antonym,早上,晚上",早上,Antonym,晚上
40,"Antonym,晚上,早上",晚上,Antonym,早上
41,"Antonym,最初,最后",最初,Antonym,最后
42,"Antonym,有,没有",有,Antonym,没有
43,"Antonym,有意思,没意思",有意思,Antonym,没意思
